Date,Revenue,Expenses,Category
2023-01-05,120000,18000,Marketing
2023-01-15,95000,22000,Operations
2023-02-03,130000,19500,HR
2023-02-18,110000,21000,IT
2023-03-07,125000,20000,Sales
2023-03-22,115000,23000,Marketing
2023-04-10,140000,24000,Operations
2023-04-25,130000,22500,HR
2023-05-08,145000,25000,IT
2023-05-20,135000,23500,Sales
2023-06-05,150000,26000,Marketing
2023-06-19,140000,24500,Operations
2023-07-11,155000,27000,HR
2023-07-28,145000,25500,IT
2023-08-06,160000,28000,Sales
2023-08-21,150000,26500,Marketing
2023-09-04,165000,29000,Operations
2023-09-18,155000,27500,HR
2023-10-09,170000,30000,IT
2023-10-23,160000,28500,Sales
2023-11-06,120000,31000,Marketing
2023-11-20,100000,95000,Operations
2023-12-05,175000,32000,HR
2023-12-19,165000,30500,IT
